experement_id,Model name,Max val_accuracy:loss,VOCAB_SIZE,WIN_SIZE,WIN_HOP,BestE,LastE
37,model_37_vs_10000_ws_3000_hop_150,4.78339663246699,10000,3000,150,7,12
9,model_9_vs_5000_ws_4000_hop_150,4.699862907829094,5000,4000,150,7,7
41,model_41_vs_10000_ws_3000_hop_350,4.641359959731035,10000,3000,350,12,12
47,model_47_vs_10000_ws_4000_hop_300,4.607751361968633,10000,4000,300,9,9
68,model_68_vs_10000_ws_7000_hop_300,4.606798034060416,10000,7000,300,8,9
33,model_33_vs_5000_ws_7000_hop_300,4.587266728162664,5000,7000,300,3,6
52,model_52_vs_10000_ws_5000_hop_200,4.523121887737939,10000,5000,200,6,6
67,model_67_vs_10000_ws_7000_hop_250,4.522924735714458,10000,7000,250,5,8
53,model_53_vs_10000_ws_5000_hop_250,4.489637571677045,10000,5000,250,6,7
103,model_103_vs_15000_ws_7000_hop_300,4.481200307986276,15000,7000,300,7,12
32,model_32_vs_5000_ws_7000_hop_250,4.429016146265018,5000,7000,250,10,10
75,model_75_vs_15000_ws_3000_hop_300,4.422210465996894,15000,3000,300,7,7
73,model_73_vs_15000_ws_3000_hop_200,4.4211877352964395,15000,3000,200,6,6
2,model_2_vs_5000_ws_3000_hop_150,4.388312864019452,5000,3000,150,8,9
8,model_8_vs_5000_ws_4000_hop_100,4.379651011357832,5000,4000,100,8,13
61,model_61_vs_10000_ws_6000_hop_300,4.238760214178611,10000,6000,300,13,14
26,model_26_vs_5000_ws_6000_hop_300,4.231157213239867,5000,6000,300,12,12
36,model_36_vs_10000_ws_3000_hop_100,4.216680019275701,10000,3000,100,7,7
100,model_100_vs_15000_ws_7000_hop_150,4.15590988987778,15000,7000,150,7,7
97,model_97_vs_15000_ws_6000_hop_350,4.144359322157024,15000,6000,350,6,6
20,model_20_vs_5000_ws_5000_hop_350,4.1142762530490895,5000,5000,350,9,10
3,model_3_vs_5000_ws_3000_hop_200,4.0907630280319305,5000,3000,200,11,12
76,model_76_vs_15000_ws_3000_hop_350,4.010821631510499,15000,3000,350,8,8
